Gene Name,Protein IDs,Tumor_vs_Normal_log2 fold change,Tumor_vs_Normal_p.val,Tumor_vs_Normal_p.adj,significant,Tumor_vs_Normal_significant,imputed,num_NAs
GRB2,P62993,0.458,0.000875,0.00305,FALSE,FALSE,FALSE,0
GREM1,O60565,-0.553,0.203,0.292,FALSE,FALSE,TRUE,8
GRHL1,Q9NZI5,0.502,0.176,0.26,FALSE,FALSE,TRUE,16
GRHL2,Q6ISB3,0.282,0.227,0.319,FALSE,FALSE,TRUE,16
GRIN2D,O15399,-0.321,0.195,0.282,FALSE,FALSE,TRUE,16
GRIP1,Q9Y3R0,-0.151,0.446,0.543,FALSE,FALSE,FALSE,0
GRIPAP1,Q4V328,0.116,0.0968,0.16,FALSE,FALSE,FALSE,0
GRK2,P25098,0.623,2.44E-06,2.09E-05,FALSE,FALSE,FALSE,0
GRK3,P35626,0.411,0.354,0.453,FALSE,FALSE,TRUE,16
GRK5,P34947,0.244,0.0537,0.0979,FALSE,FALSE,FALSE,0
GRK6,P43250,0.315,0.0185,0.0408,FALSE,FALSE,FALSE,0
GRN,P28799,-0.362,0.231,0.323,FALSE,FALSE,FALSE,0
GRPEL2,Q8TAA5,-0.135,0.403,0.502,FALSE,FALSE,FALSE,0
GRSF1,Q12849,-0.512,1.73E-06,1.61E-05,FALSE,FALSE,FALSE,0
GRWD1,Q9BQ67,0.441,3.50E-06,2.85E-05,FALSE,FALSE,FALSE,0
GSAP,A4D1B5,0.0332,0.858,0.895,FALSE,FALSE,TRUE,8
GSDMA,Q96QA5,-0.29,0.253,0.348,FALSE,FALSE,TRUE,8
GSDMD,P57764,0.362,3.75E-05,0.000207,FALSE,FALSE,FALSE,0
GSDME,O60443,0.411,0.0329,0.0658,FALSE,FALSE,FALSE,0
GSE1,Q14687,0.325,0.00672,0.0174,FALSE,FALSE,FALSE,0
GSK3A,P49840,-0.0707,0.261,0.357,FALSE,FALSE,FALSE,0
GSK3B,P49841,-0.00794,0.901,0.928,FALSE,FALSE,FALSE,0
GSKIP,Q9P0R6,0.149,0.184,0.27,FALSE,FALSE,FALSE,0
GSN,P06396,0.251,0.0832,0.141,FALSE,FALSE,FALSE,0
GSPT1,P15170,0.0419,0.557,0.645,FALSE,FALSE,FALSE,0
GSPT2,Q8IYD1,0.102,0.111,0.178,FALSE,FALSE,FALSE,0
GSR,P00390,-0.295,0.0108,0.0259,FALSE,FALSE,FALSE,0
GSS,P48637,-0.191,0.0538,0.0981,FALSE,FALSE,FALSE,0
GSTA1,P08263,-0.791,0.0249,0.0522,FALSE,FALSE,FALSE,0
GSTA2,P09210,-0.673,0.15,0.229,FALSE,FALSE,FALSE,0
GSTA3,Q16772,-0.338,0.448,0.545,FALSE,FALSE,TRUE,16
GSTA4,O15217,-0.0294,0.893,0.923,FALSE,FALSE,FALSE,0
GSTCD,Q8NEC7,0.178,0.0148,0.0338,FALSE,FALSE,FALSE,0
GSTM1,P09488,0.116,0.767,0.824,FALSE,FALSE,FALSE,0
GSTM2,P28161,-0.461,0.0748,0.129,FALSE,FALSE,FALSE,0
GSTM4,Q03013,0.205,0.392,0.49,FALSE,FALSE,FALSE,0
GSTO1,P78417,0.0947,0.439,0.536,FALSE,FALSE,FALSE,0
